卤化物固态电解质性能数据汇总表 (人工整理自 Li & Du, ACS Nano 2025, 19: 4121-4155, Table 1)
每行一种材料: 材料式 — 室温离子电导率(RT ionic conductivity) | 活化能(activation energy) | 电子电导率(electronic conductivity) | 电化学稳定窗口(ESW)
注: "-" 表示原表中未列出该数值; 电子电导率越低越好, 与离子电导率是不同指标。

Li1.25La0.58Nb2O6F — 离子电导率 1.7 mS cm-1 | 活化能 0.26 eV | 电子电导率 - | ESW -
Li1.25La0.58Ta2O6F — 离子电导率 1.1 mS cm-1 | 活化能 0.30 eV | 电子电导率 - | ESW -
Li2.7Yb0.7Zr0.3Cl6 — 离子电导率 0.51 mS cm-1 | 活化能 0.40 eV | 电子电导率 1×10-10 S cm-1 | ESW -
Li3YCl6 — 离子电导率 1.7 mS cm-1 | 活化能 0.37 eV | 电子电导率 2.8×10-9 S cm-1 | ESW -
Li3YCl6 (另一报道) — 离子电导率 2.2 mS cm-1 | 活化能 0.31 eV | 电子电导率 - | ESW 2.5 V-4.0 V
Li3YBr6 — 离子电导率 2.3 mS cm-1 | 活化能 0.35 eV | 电子电导率 1×10-9 S cm-1 | ESW 2.8 V-4.3 V
Li3YBr6 (另一报道) — 离子电导率 1.04 mS cm-1 | 活化能 0.26 eV | 电子电导率 - | ESW -
Li3Ta2O2F1Cl9 — 离子电导率 0.2 mS cm-1 | 活化能 - | 电子电导率 - | ESW -
Li2ZrCl5.2F0.8 — 离子电导率 5.5×10-4 mS cm-1 | 活化能 0.48 eV | 电子电导率 - | ESW -
Li2ZrF5Cl1 — 离子电导率 2.5×10-3 mS cm-1 | 活化能 0.64 eV | 电子电导率 1×10-9 S cm-1 | ESW -
2LiF:Li2TiF6 — 离子电导率 4.47 mS cm-1 | 活化能 0.321 eV | 电子电导率 6.9×10-8 S cm-1 | ESW -
Li2.6In0.8Ta0.2Cl6 — 离子电导率 1.171 mS cm-1 | 活化能 0.338 eV | 电子电导率 1.3×10-7 S cm-1 | ESW -
Li2.75Y0.16Er0.16Yb0.16In0.25Zr0.25Cl6 (高熵氯化物) — 离子电导率 3.02 mS cm-1 | 活化能 0.25 eV | 电子电导率 - | ESW 2.6 V-4.5 V
Li3ScCl6 — 离子电导率 1.61 mS cm-1 | 活化能 0.326 eV | 电子电导率 - | ESW -
Li2.6Sc0.6Zr0.4Cl6 — 离子电导率 1.33 mS cm-1 | 活化能 0.323 eV | 电子电导率 2.467×10-9 S cm-1 | ESW 2.15 V-4.5 V
Li2.6Sc0.6Hf0.4Cl6 — 离子电导率 5.17 mS cm-1 | 活化能 0.148 eV | 电子电导率 2.92×10-9 S cm-1 | ESW -
Li0.447Ta0.179Zr0.059La0.475Cl3 — 离子电导率 0.75 mS cm-1 | 活化能 0.23 eV | 电子电导率 5.79×10-9 S cm-1 | ESW 2 V-5 V
Li0.8Zr0.25La0.5Cl2.7O0.3 — 离子电导率 1.3 mS cm-1 | 活化能 0.4 eV | 电子电导率 2.76×10-9 S cm-1 | ESW -
Li2.73Ho1.09Cl6 — 离子电导率 0.47 mS cm-1 | 活化能 0.23 eV | 电子电导率 - | ESW 4.3 V (氧化电压)
Li2.61Y1.13Cl6 — 离子电导率 1.0 mS cm-1 | 活化能 0.38 eV | 电子电导率 - | ESW -
Li2.31Y0.98Nb0.02Cl5.31 — 离子电导率 1.5 mS cm-1 | 活化能 0.285 eV | 电子电导率 2.3×10-9 S cm-1 | ESW 5.13 V (氧化电压)
Li2.5Lu0.5Zr0.5Cl6 — 离子电导率 1.5 mS cm-1 | 活化能 0.26 eV | 电子电导率 1.0×10-9 S cm-1 | ESW -
Li2.6Yb0.6Hf0.4Cl6 — 离子电导率 1.1 mS cm-1 | 活化能 0.38 eV | 电子电导率 8.54×10-11 S cm-1 | ESW 4.4 V (氧化电压)
Li3HoBr6 — 离子电导率 1.25 mS cm-1 | 活化能 0.37 eV | 电子电导率 3.16×10-9 S cm-1 | ESW -
Li3HoBr6 (另一报道) — 离子电导率 1.7 mS cm-1 | 活化能 0.33 eV | 电子电导率 6.75×10-10 S cm-1 | ESW 0.9 V-4.3 V
Li3TbBr6 — 离子电导率 1.35 mS cm-1 | 活化能 0.1 eV | 电子电导率 4.5×10-9 S cm-1 | ESW -
Li3ZrCl4O1.5 (氧氯化物) — 离子电导率 7.16 mS cm-1 | 活化能 0.23 eV | 电子电导率 1.4×10-9 S cm-1 | ESW 1.3 V-4.2 V
LiTaCl6 — 离子电导率 4 mS cm-1 | 活化能 0.30 eV | 电子电导率 - | ESW -
NaTaCl6 — 离子电导率 3.02 mS cm-1 | 活化能 0.197 eV | 电子电导率 - | ESW 1.6 V-4.1 V
Li0.388Ta0.238La0.475Cl3 — 离子电导率 0.1 mS cm-1 | 活化能 0.11 eV | 电子电导率 1.1×10-8 S cm-1 | ESW -
SmCl3·0.5LiCl — 离子电导率 1.8 mS cm-1 | 活化能 0.318 eV | 电子电导率 7.1×10-10 S cm-1 | ESW -
Li-LaCeZrHfTa-Cl (多元氯化物) — 离子电导率 0.29 mS cm-1 | 活化能 0.33 eV | 电子电导率 5×10-9 S cm-1 | ESW -
Na0.7La0.7Zr0.3Cl4 — 离子电导率 3.31 mS cm-1 | 活化能 0.30 eV | 电子电导率 1.74×10-10 S cm-1 | ESW -
Li1.4MgCl3.4 — 离子电导率 1 mS cm-1 | 活化能 0.38 eV | 电子电导率 2.49×10-9 S cm-1 | ESW 0.64 V-4.25 V
Li3ErBr6 — 离子电导率 0.51 mS cm-1 | 活化能 0.38 eV | 电子电导率 - | ESW 0.5 V-4.0 V
Li4YI7 — 离子电导率 0.321 mS cm-1 | 活化能 0.4 eV | 电子电导率 1.3×10-8 S cm-1 | ESW -
Li3InCl4.8F1.2 — 离子电导率 0.22 mS cm-1 | 活化能 0.422 eV | 电子电导率 - | ESW 0.81 V-4.04 V
Li2ZrCl5.6F0.4 — 离子电导率 5.4 mS cm-1 | 活化能 0.164 eV | 电子电导率 - | ESW -
Li3YCl5F — 离子电导率 3.6 mS cm-1 | 活化能 0.364 eV | 电子电导率 - | ESW 1.75 V-4.25 V
2LiCl-0.7AlF3-0.3GaF3 — 离子电导率 2.7 mS cm-1 | 活化能 0.18 eV | 电子电导率 - | ESW -
2LiCl-GaF3 — 离子电导率 1.17 mS cm-1 | 活化能 0.31 eV | 电子电导率 - | ESW -
Li3HoBr3I3 (混合卤素) — 离子电导率 12.4 mS cm-1 | 活化能 0.23 eV | 电子电导率 - | ESW -
Li2.5ZrCl5F0.5O0.5 (氧卤化物) — 离子电导率 10.4 mS cm-1 | 活化能 0.24 eV | 电子电导率 2.09×10-7 S cm-1 | ESW 1.5 V-3.3 V
LiTaOCl4 (氧卤化物) — 离子电导率 6.6 mS cm-1 | 活化能 0.274 eV | 电子电导率 1.02×10-9 S cm-1 | ESW -
LiNbOCl4 (氧卤化物) — 离子电导率 1.97 mS cm-1 | 活化能 0.328 eV | 电子电导率 1.59×10-9 S cm-1 | ESW 1.5 V-3.4 V
1.6Li2O-TaCl5 — 离子电导率 2.42 mS cm-1 | 活化能 0.24 eV | 电子电导率 - | ESW -
1.5Li2O-HfCl4 — 离子电导率 4.62 mS cm-1 | 活化能 0.30 eV | 电子电导率 - | ESW 1.5 V-3.4 V
Li1.75ZrCl4.75O0.5 — 离子电导率 1 mS cm-1 | 活化能 0.33 eV | 电子电导率 9.7×10-8 S cm-1 | ESW -
0.5Na2O2-TaCl5 — 离子电导率 0.8 mS cm-1 | 活化能 0.28 eV | 电子电导率 4×10-9 S cm-1 | ESW 2 V-4.1 V
LiAlCl2.5O0.75 — 离子电导率 2.04 mS cm-1 | 活化能 0.347 eV | 电子电导率 - | ESW -
Li2.25Zr0.75Fe0.25Cl6 — 离子电导率 0.345 mS cm-1 | 活化能 0.39 eV | 电子电导率 - | ESW 4.4 V (氧化电压)
Li3InCl6 — 离子电导率 4.03 mS cm-1 | 活化能 0.22 eV | 电子电导率 - | ESW -
Li3InCl6 (另一报道) — 离子电导率 1.1 mS cm-1 | 活化能 0.33 eV | 电子电导率 6.33×10-10 S cm-1 | ESW -
Li2.375Sc0.375Zr0.625Cl6 — 离子电导率 - | 活化能 - | 电子电导率 5.22×10-10 S cm-1 | ESW 2.01 V-4.27 V
Li2.375Sc0.375Hf0.625Cl6 — 离子电导率 - | 活化能 - | 电子电导率 ~10-10 S cm-1 | ESW -
