filename,title,doi,source_url,status
Asano_2018_AdvMater_Li3YCl6.pdf,"Solid Halide Electrolytes with High Lithium-Ion Conductivity for Application in 4 V Class Bulk-Type All-Solid-State Batteries",10.1002/adma.201803075,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201803075,downloaded
Liang_2020_JACS_LiScCl.pdf,"Site-Occupation-Tuned Superionic LixScCl3+x Halide Solid Electrolytes for All-Solid-State Batteries",10.1021/jacs.0c00134,https://pubs.acs.org/doi/pdf/10.1021/jacs.0c00134,downloaded
Schlem_2021_ChemMater_Li3YCl6.pdf,"Insights into the Lithium Sub-structure of Superionic Conductors Li3YCl6 and Li3YBr6",10.1021/acs.chemmater.0c04352,https://pubs.acs.org/doi/pdf/10.1021/acs.chemmater.0c04352,downloaded
Schlem_2020_AdvEnergyMater_Li3MCl6.pdf,"Mechanochemical Synthesis: A Tool to Tune Cation Site Disorder and Ionic Transport Properties of Li3MCl6 (M = Y, Er) Superionic Conductors",10.1002/aenm.201903719,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201903719,downloaded
Yu_2023_Science_TrigonalHalide.pdf,"Design of a Trigonal Halide Superionic Conductor by Regulating Cation Order-Disorder",10.1126/science.adg6591,https://www.science.org/doi/pdf/10.1126/science.adg6591,downloaded
Liang_2022_AdvEnergyMater_TernaryChloride.pdf,"A Series of Ternary Metal Chloride Superionic Conductors for High-Performance All-Solid-State Lithium Batteries",10.1002/aenm.202103921,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202103921,downloaded
Wang_2019_Angew_LiClBr.pdf,"Lithium Chlorides and Bromides as Promising Solid-State Chemistries for Fast Ion Conductors with Good Electrochemical Stability",10.1002/anie.201901938,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201901938,downloaded
Shi_2021_NanoLett_Li3HoBr6.pdf,"Fast Li-ion Conductor of Li3HoBr6 for Stable All-Solid-State Lithium-Sulfur Battery",10.1021/acs.nanolett.1c03573,https://pubs.acs.org/doi/pdf/10.1021/acs.nanolett.1c03573,downloaded
,"Gram-Scale Synthesis of Nanosized Li3HoBr6 Solid Electrolyte for All-Solid-State Li-Se Battery",10.1002/smtd.202101002,,manual_needed
,"Discovering a New Class of Fluoride Solid Electrolyte Materials via Screening the Structural Property of Li-Ion Sublattice",10.1016/j.nanoen.2020.105407,,manual_needed
,"Unlocking Lithium Ion Conduction in Lithium Metal Fluorides",10.1016/j.matt.2024.06.027,,manual_needed
Zhang_2024_JACS_AmorphousOxyhalide.pdf,"Amorphous Oxyhalide Matters for Achieving Lithium Superionic Conduction",10.1021/jacs.3c07343,https://pubs.acs.org/doi/pdf/10.1021/jacs.3c07343,downloaded
Tanaka_2023_Angew_Oxyhalide.pdf,"New Oxyhalide Solid Electrolytes with High Lithium Ionic Conductivity >10 mS cm-1 for All-Solid-State Batteries",10.1002/anie.202217581,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202217581,downloaded
Gao_2024_ACSEnergyLett_FluorinatedOxychloride.pdf,"Fluorinated Superionic Oxychloride Solid Electrolytes for High-Voltage All-Solid-State Lithium Batteries",10.1021/acsenergylett.3c02243,https://pubs.acs.org/doi/pdf/10.1021/acsenergylett.3c02243,downloaded
,"A LaCl3-Based Lithium Superionic Conductor Compatible with Lithium Metal",10.1038/s41586-023-05899-8,,manual_needed
Luo_2024_Angew_NonClosePacked.pdf,"Halide Superionic Conductors with Non-Close-Packed Anion Frameworks",10.1002/anie.202400424,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202400424,downloaded
,"A Novel LaCl3-Based Oxychloride Solid-State Electrolyte Enables Fast Li-Ion Transport and is Compatible with Lithium Metal",10.1039/d4ta01753f,,manual_needed
Li_2023_JACS_AmorphousChloride.pdf,"Amorphous Chloride Solid Electrolytes with High Li-Ion Conductivity for Stable Cycling of All-Solid-State High-Nickel Cathodes",10.1021/jacs.3c10602,https://pubs.acs.org/doi/pdf/10.1021/jacs.3c10602,downloaded
Li_2023_Angew_MultiCationChloride.pdf,"The Universal Super Cation-Conductivity in Multiple-cation Mixed Chloride Solid-State Electrolytes",10.1002/anie.202306433,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202306433,downloaded
Fu_2023_JACS_InterfaceBondedHalide.pdf,"Superionic Conducting Halide Frameworks Enabled by Interface-Bonded Halides",10.1021/jacs.2c09446,https://pubs.acs.org/doi/pdf/10.1021/jacs.2c09446,downloaded
Kim_2023_AdvMater_CathodeInterfaceAging.pdf,"Aging Property of Halide Solid Electrolyte at the Cathode Interface",10.1002/adma.202301631,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202301631,downloaded
Song_2024_NatCommun_LatticeDistortion.pdf,"Promoting High-Voltage Stability through Local Lattice Distortion of Halide Solid Electrolytes",10.1038/s41467-024-45864-1,https://www.nature.com/articles/s41467-024-45864-1.pdf,downloaded
Yang_2024_ACSEnergyLett_SynthesisEffects.pdf,"Halide Superionic Conductors for All-Solid-State Batteries: Effects of Synthesis and Composition on Lithium-Ion Conductivity",10.1021/acsenergylett.4c00317,https://pubs.acs.org/doi/pdf/10.1021/acsenergylett.4c00317,downloaded
,"Progress and Perspectives on Halide Lithium Conductors for All-Solid-State Lithium Batteries",10.1039/c9ee03828k,,manual_needed
Wang_2022_SciAdv_HalideASSBReview.pdf,"Prospects of Halide-Based All-Solid-State Batteries: From Material Design to Practical Application",10.1126/sciadv.adc9516,https://www.science.org/doi/pdf/10.1126/sciadv.adc9516,downloaded
